Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,2.538000,2.563000,2.133000,2.243000,2.243000,0
2019-04-01,2.270000,2.428000,2.246000,2.282000,2.282000,0
2019-05-01,2.285000,2.384000,1.923000,1.927000,1.927000,0
2019-06-01,1.888000,1.940000,1.709000,1.758000,1.758000,0
2019-07-01,1.783000,1.909000,1.725000,1.844000,1.844000,0
2019-08-01,1.847000,1.847000,1.355000,1.391000,1.391000,0
2019-09-01,1.377000,1.752000,1.308000,1.551000,1.551000,0
2019-10-01,1.596000,1.683000,1.321000,1.523000,1.523000,0
2019-11-01,1.505000,1.782000,1.498000,1.621000,1.621000,0
2019-12-01,1.664000,1.771000,1.518000,1.693000,1.693000,0
2020-01-01,1.683000,1.691000,1.325000,1.326000,1.326000,0
2020-02-01,1.367000,1.483000,0.909000,0.913000,0.913000,0
2020-03-01,0.838000,0.915000,0.318000,0.375000,0.375000,0
2020-04-01,0.355000,0.519000,0.301000,0.345000,0.345000,0
2020-05-01,0.340000,0.404000,0.272000,0.304000,0.304000,0
2020-06-01,0.310000,0.506000,0.266000,0.289000,0.289000,0
2020-07-01,0.296000,0.331000,0.214000,0.215000,0.215000,0
2020-08-01,0.219000,0.322000,0.192000,0.264000,0.264000,0
2020-09-01,0.269000,0.304000,0.226000,0.272000,0.272000,0
2020-10-01,0.285000,0.388000,0.256000,0.381000,0.381000,0
2020-11-01,0.372000,0.465000,0.318000,0.362000,0.362000,0
2020-12-01,0.369000,0.435000,0.349000,0.361000,0.361000,0
2021-01-01,0.367000,0.533000,0.351000,0.443000,0.443000,0
2021-02-01,0.427000,0.865000,0.413000,0.776000,0.776000,0
2021-03-01,0.731000,0.943000,0.667000,0.938000,0.938000,0
2021-04-01,0.925000,0.988000,0.784000,0.857000,0.857000,0
2021-05-01,0.870000,0.873000,0.718000,0.788000,0.788000,0
2021-06-01,0.819000,0.963000,0.724000,0.873000,0.873000,0
2021-07-01,0.896000,0.925000,0.631000,0.703000,0.703000,0
2021-08-01,0.684000,0.864000,0.606000,0.772000,0.772000,0
2021-09-01,0.779000,1.042000,0.745000,0.997000,0.997000,0
2021-10-01,0.973000,1.251000,0.931000,1.188000,1.188000,0
2021-11-01,1.219000,1.378000,1.049000,1.150000,1.150000,0
